Model,Metric,Score
Emotion Detection (EfficientNet-B0),Accuracy,69.39%
Emotion Detection (EfficientNet-B0),Precision (weighted),0.6999
Emotion Detection (EfficientNet-B0),Recall (weighted),0.6939
Emotion Detection (EfficientNet-B0),F1 (weighted),0.6951
Pose Detection (MobileNetV2),Accuracy,11.59%
Pose Detection (MobileNetV2),Precision (weighted),0.0134
Pose Detection (MobileNetV2),Recall (weighted),0.1159
Pose Detection (MobileNetV2),F1 (weighted),0.0241
RAG Retrieval (BGE fine-tuned),Recall@4,87.50%
RAG Retrieval (BGE fine-tuned),MRR,0.8750
